QID,Term,Morph,npmi
1,obama,obamas,0.457162763747596
1,obama,obamaism,0.295681202010758
1,obama,obamaisms,0.288706233108678
1,obama,obamalies,0.236600305825883
1,obama,obamalied,0.232508177060308
1,obama,obamaness,0.253119964181864
1,obama,obamaly,0.226975271936484
1,family,familyiving,0.0888901875637335
1,family,famililies,0.0963084615758733
1,family,familiness,0.130727347133086
1,family,familiers,0.000236004985113625
1,family,familieds,0.112686792026334
1,family,familical,0.112686792026334
1,family,familior,0.0493848144346533
1,family,familied,0.075319313337319
1,family,familily,0.104642674597621
1,family,families,0.356914659876327
1,family,familier,0.0481894360658065
1,family,familyor,0.106437326410994
1,family,familyal,0.0750596988879763
1,family,familyed,0.102321878073605
1,family,familyes,0.0861701652441094
1,family,familyer,0.0926596337260247
1,family,familyive,0.0691914795864188
1,family,familyism,0.119091129560194
1,family,familying,0.102405659420818
1,family,familys,0.150359844628316
1,family,familic,0.0847227292662394
1,family,familyally,0.0691914795864188
1,family,familyence,0.112686792026334
1,family,familyness,0.123597181569435
1,tree,treally,0.0753847740019563
1,tree,treance,0.102966825379031
1,tree,treable,0.177816313973352
1,tree,treeals,0.154641452886308
1,tree,treeing,0.131657457139929
1,tree,treeism,0.154641452886308
1,tree,treeity,0.154641452886308
1,tree,treible,0.0702529894814513
1,tree,treings,0.154641452886308
1,tree,treizer,0.154641452886308
1,tree,treizes,0.0764607595382628
1,tree,treeation,0.201612918435953
1,tree,treeativity,0.164855352016799
1,tree,treality,0.0833589694486756
1,tree,treation,0.115551106212285
1,tree,treeable,0.155587765798467
1,tree,treelies,0.154641452886308
1,tree,treeness,0.230896363907916
1,tree,treeability,0.201612918435953
1,tree,treer,0.134927584209031
1,tree,trees,0.457086034004073
1,tree,treed,0.213672621357814
1,tree,treal,0.0874834249680092
1,tree,treor,0.026423228990917
1,tree,treic,0.154105225425365
1,tree,treallies,0.154641452886308
1,tree,treals,0.102966825379031
1,tree,treeal,0.147836137935917
1,tree,treees,0.202342918052614
1,tree,treeds,0.183919150682727
1,tree,treeed,0.131775065941815
1,tree,treely,0.158268990043675
1,tree,treers,0.201692657986701
1,tree,treeor,0.192040431999198
1,tree,treing,0.13414435861677
1,tree,treion,0.160932354411313
1,tree,treive,0.147836137935917
1,tree,treity,0.154641452886308
1,tree,treize,0.0493736090195046
1,tree,treors,0.131775065941815
1,tree,trealities,0.154641452886308
1,tree,treeations,0.201612918435953
2,french,frenchizes,0.083578160604162
2,french,frenchized,0.169857570899355
2,french,frenchings,0.139153807761233
2,french,frenchisms,0.167423158540028
2,french,frenchness,0.220750808632196
2,french,frenchment,0.107972284244364
2,french,francances,0.117490277445307
2,french,francement,0.153287639053721
2,french,francancy,0.117490277445307
2,french,francelys,0.117490277445307
2,french,francence,0.117490277445307
2,french,francions,0.117490277445307
2,french,france,0.444680186362398
2,french,francy,0.0363400851421478
2,french,frencher,0.207487351937909
2,french,frenches,0.11873462088142
2,french,frenched,0.122439829346634
2,french,frenchor,0.160902862135518
2,french,frenchly,0.160359355580178
2,french,frenchic,0.0783999307712844
2,french,frenchize,0.0877250710262491
2,french,frenchism,0.185699154724636
2,french,frenchion,0.117490277445307
2,french,frenching,0.136021384241226
2,french,frenchers,0.11967382436493
2,french,franced,0.142403462507269
2,french,francer,0.0816228291660499
2,french,francys,0.0531828840544517
2,french,francic,0.114950271757029
2,french,frenchs,0.117977589417329
2,french,frenchization,0.166922603392636
2,french,francees,0.0778433506854436
2,french,francely,0.117490277445307
2,french,francers,0.0783999307712844
2,french,franceds,0.0946238905008138
2,french,franceed,0.117490277445307
2,french,francing,0.0530950013753132
2,french,francion,0.16429585195979
2,french,francics,0.0684930676991571
2,french,francies,0.0354353196401679
2,lick,lickable,0.390050343973273
2,lick,lickably,0.306714687549473
2,lick,lickking,0.291428917464543
2,lick,lickness,0.194953491504658
2,lick,licks,0.487125574234846
2,lick,lickables,0.329396850463634
2,lick,lickeds,0.262620676901759
2,lick,lickers,0.44143055600877
2,lick,lickity,0.226037395118343
2,lick,lickability,0.17655804601937
2,lick,licked,0.517255026069967
2,lick,lickes,0.282844276850338
2,lick,licker,0.393420288123986
2,lick,lickly,0.266533952806786
2,lick,lickor,0.310677479290198
2,lick,lickal,0.291428917464543
2,resort,resorts,0.568499270997234
2,resort,resortations,0.181062117815708
2,resort,resortals,0.229108390916587
2,resort,resorters,0.199139647426676
2,resort,resorteer,0.181062117815708
2,resort,resortism,0.217397759856918
2,resort,resorting,0.166510789526773
2,resort,resortable,0.075500993061273
2,resort,resortized,0.181062117815708
2,resort,resortings,0.19302107301954
2,resort,resortlies,0.244898770184063
2,resort,resortment,0.181062117815708
2,resort,resortor,0.238831370121065
2,resort,resorter,0.180156488307642
2,resort,resortes,0.104348586167235
2,resort,resorted,0.171742741236417
2,resort,resortal,0.305511210695522
2,resort,resortative,0.181062117815708
2,resort,resortation,0.061126828769897
2,and,ands,0.00951396672338127
2,and,andability,0.00818750992350514
2,and,andmenting,0.00674799443457034
2,and,andically,0.00691248818168224
2,and,andabilities,0.00691248818168224
2,and,andly,0.0079592134719376
2,and,andor,0.0081365342316146
2,and,andic,0.00708680291520944
2,and,anded,0.00973701810451341
2,and,ander,-0.00581870394088592
2,and,andal,0.00303609160041674
2,and,andallied,0.0072130729547869
2,and,andallies,0.00703414752324862
2,and,andations,0.00703414752324862
2,and,andanced,0.00703414752324862
2,and,andation,0.00728350871433493
2,and,andative,0.00785318611257352
2,and,anderity,0.00674799443457034
2,and,andiving,0.00703414752324862
2,and,andities,0.00728350871433493
2,and,andments,0.0077753294575317
2,and,andliness,0.00674799443457034
2,and,andmently,0.00691248818168224
2,and,andeor,0.0072130729547869
2,and,andeer,-0.0191713092723969
2,and,andeds,0.00703414752324862
2,and,anddor,0.00728350871433493
2,and,anders,0.00144449002952797
2,and,andded,0.00734564434470431
2,and,andder,-0.0170486100280305
2,and,anddal,0.00674799443457034
2,and,andive,0.00828262629900994
2,and,andity,-0.00565792229540813
2,and,andion,-0.00481053943198549
2,and,anding,0.00791951794593756
2,and,andics,-0.00194304132413383
2,and,andial,0.00730228502497192
2,and,andize,0.00674799443457034
2,and,andals,0.00770066873390832
2,and,andors,0.00251328430037326
2,and,andable,0.00758078464646153
2,and,andance,0.00229812575836671
2,and,andding,0.0074518791508814
2,and,andence,-0.0177715674140354
2,and,andeers,0.00703414752324862
2,and,andials,0.00674799443457034
2,and,andical,0.00691248818168224
2,and,andized,0.00674799443457034
2,and,andions,0.00674799443457034
2,and,andings,0.00838849884148954
2,and,andives,0.00691248818168224
2,and,andment,0.00847102476011024
2,and,andlies,0.00758078464646153
2,and,andness,0.00728350871433493
2,and,anderness,0.00691248818168224
2,casino,casinor,0.288669738577222
2,casino,casinos,0.610249243793704
2,casino,casinoed,0.227967671885028
2,casino,casinoes,0.327840519312348
2,casino,casinoer,0.313083133192443
2,casino,casinoal,0.252522991404356
2,casino,casinoor,0.203561433453175
2,casino,casinoization,0.180695046508682
2,casino,casinoation,0.266874650928353
2,casino,casinoism,0.252522991404356
2,casino,casinoing,0.269927128337446
3,getting,get,0.311610206815593
3,getting,gets,0.351163705940499
3,getting,gettableness,0.0169153493493655
3,getting,gettability,0.0989646033508526
3,getting,getability,0.137831782448091
3,getting,geters,0.15359789186947
3,getting,getics,0.0973303353896897
3,getting,getals,0.107680323530665
3,getting,getter,0.120276245535326
3,getting,gettal,0.107680323530665
3,getting,getted,0.121165287484869
3,getting,gettor,0.0973303353896897
3,getting,getity,0.107680323530665
3,getting,getive,0.0848139365861721
3,getting,geting,0.195789544648272
3,getting,getion,0.0560056960233881
3,getting,getor,0.0960815158803585
3,getting,getly,0.116812831705337
3,getting,getic,-0.0188787652997834
3,getting,geter,0.0583647584612501
3,getting,getes,0.0716211912230364
3,getting,geted,0.146523405004008
3,getting,getal,0.10588123092443
3,getting,getables,-0.00206015360959005
3,getting,getabled,0.0848139365861721
3,getting,getation,0.0685899768566427
3,getting,gettable,0.124117982717963
3,getting,gettings,0.0690789435423167
3,getting,gettabled,0.107680323530665
3,getting,gettables,0.063080220192563
3,getting,getabilities,0.0848139365861721
3,getting,getally,0.107680323530665
3,getting,getable,0.117628581897399
3,getting,getence,0.107680323530665
3,getting,gettors,0.152741383850889
3,getting,getters,0.136156808189008
3,organized,organizedor,0.113035979556018
3,organized,organizedly,0.224145515680953
3,organized,organizedness,0.135902366500511
3,organized,organizeds,0.162174103990821
4,toilet,toilettable,0.265104089329237
4,toilet,toiletization,0.305784653353878
4,toilet,toileteer,0.281988048891277
4,toilet,toileters,0.305784653353878
4,toilet,toiletted,0.313238670088361
4,toilet,toiletter,0.225869681606772
4,toilet,toileting,0.348964928954115
4,toilet,toiletism,0.305784653353878
4,toilet,toileteers,0.281988048891277
4,toilet,toiletness,0.254741078572656
4,toilet,toiletting,0.203019156739653
4,toilet,toiletters,0.254741078572656
4,toilet,toileted,0.295333057088974
4,toilet,toileter,0.313238670088361
4,toilet,toiletes,0.192654076525074
4,toilet,toiletor,0.305784653353878
4,toilet,toilets,0.4965061948411
5,mitchell,mitchellisms,0.283632974516176
5,mitchell,mitchellness,0.318636969738305
5,mitchell,mitchelled,0.283632974516176
5,mitchell,mitchelling,0.259836370053575
5,mitchell,mitchells,0.342739612187738
5,college,colleging,0.132880203602998
5,college,collegion,0.121008483776891
5,college,collegeds,0.148109068789269
5,college,collegeed,0.198172285697089
5,college,collegeal,0.134423942620063
5,college,collegees,0.0926642528271364
5,college,collegeer,0.103229087270708
5,college,collegeor,0.143930387581151
5,college,collegers,0.148759531859075
5,college,collegality,0.103229087270708
5,college,collegeions,0.0803627003262144
5,college,collegations,0.103229087270708
5,college,collegeals,0.148109068789269
5,college,collegeial,0.148109068789269
5,college,collegeity,0.148109068789269
5,college,collegical,0.103229087270708
5,college,collegions,0.124312464326669
5,college,collegic,0.108415076796894
5,college,collegor,0.159641529244947
5,college,collegal,0.148109068789269
5,college,colleges,0.407084316812531
5,college,colleger,0.167028003576026
5,college,colleged,0.155692130630441
5,college,collegeality,0.124312464326669
7,air,airically,0.0778155133933359
7,air,airations,0.100681900337829
7,air,airable,0.138101534761327
7,air,airally,0.121661656392684
7,air,airials,0.0855453282887735
7,air,airived,0.100681900337829
7,air,airizer,0.0158587797748202
7,air,airions,0.145458260855285
7,air,airment,0.118293057928035
7,air,airlied,-0.0687975862175687
7,air,airlies,0.146179645801779
7,air,airness,-0.0056862411193062
7,air,airrors,0.149004051328064
