QID,Term,Morph,npmi
1,obama,obamas,0.457162763747596
1,obama,obamae,0.260145463091569
1,obama,obamaism,0.295681202010758
1,obama,obamaize,0.177283445202887
1,obama,obamaing,0.232508177060308
1,obama,obamaers,0.232508177060308
1,obama,obamas's,0.258526253339577
1,obama,obamaisms,0.288706233108678
1,obama,obamaized,0.242168859259439
1,obama,obamaitis,0.22294873578125
1,obama,obamaness,0.253119964181864
1,obama,obamaization,0.260577925556854
1,obama,obamaments,0.219005231053215
1,obama,obamaic,0.226975271936484
1,obama,obamaes,0.226975271936484
1,obama,obamaer,0.226975271936484
1,obama,obamaed,0.244987808913802
1,obama,obama's,0.637739281467937
1,family,famili,0.0685928185776368
1,family,familialization,0.115433722666269
1,family,familiality,0.110650965727818
1,family,familialism,0.116011067383909
1,family,familialize,0.0463250926419257
1,family,familiement,-0.0405489975538365
1,family,familializing,0.0720062280016938
1,family,familially,0.0949298072192963
1,family,familiants,0.103813778618675
1,family,familieals,0.0691914795864188
1,family,families's,0.115026591451196
1,family,familiness,0.130727347133086
1,family,familiant,0.0385061708613896
1,family,familials,0.0924259157103314
1,family,familiers,0.000236004985113625
1,family,familient,0.0463250926419257
1,family,familieds,0.112686792026334
1,family,familieer,0.0888901875637335
1,family,familie's,0.113513798043205
1,family,familied,0.075319313337319
1,family,familial,0.158891477660046
1,family,families,0.356914659876327
1,family,familier,0.0481894360658065
1,family,famili's,0.0888901875637335
1,family,familyed,0.102321878073605
1,family,family's,0.268211186251792
1,family,familying,0.102405659420818
1,family,familys,0.150359844628316
1,family,familie,0.0896246146039839
1,family,familis,0.118042837002581
1,family,familialized,0.0950165881253762
1,tree,treeing,0.131657457139929
1,tree,trees's,0.155911945655644
1,tree,trees,0.457086034004073
1,tree,tree's,0.368721529924103
2,french,frenchnesses,0.162950412223834
2,french,frenchings,0.139153807761233
2,french,frenchness,0.220750808632196
2,french,frenches,0.11873462088142
2,french,frenched,0.122439829346634
2,french,french's,0.209708148279639
2,french,frenchli,0.117490277445307
2,french,frenchly,0.160359355580178
2,french,frenching,0.136021384241226
2,french,frenche's,0.0658156499380298
2,french,frenchfully,0.166922603392636
2,french,frenche,0.170299185647984
2,french,frenchs,0.117977589417329
2,lick,licked's,0.343964974224731
2,lick,lickedly,0.314295304409036
2,lick,lickings,0.40762371989155
2,lick,lickly's,0.291428917464543
2,lick,lickness,0.194953491504658
2,lick,licke,0.242873930120709
2,lick,licks,0.487125574234846
2,lick,licking's,0.291428917464543
2,lick,lickingly,0.246897531168788
2,lick,lickely,0.213248224116498
2,lick,lickeds,0.262620676901759
2,lick,licking,0.563584295964649
2,lick,licks's,0.179064923141429
2,lick,licked,0.517255026069967
2,lick,lickes,0.282844276850338
2,lick,lickli,0.367761578687332
2,lick,lickly,0.266533952806786
2,lick,lick's,0.441947228319156
2,resort,resorts,0.568499270997234
2,resort,resorte,0.206265417428442
2,resort,resortations,0.181062117815708
2,resort,resorts's,0.244941851419594
2,resort,resortals,0.229108390916587
2,resort,resortant,0.181062117815708
2,resort,resorters,0.199139647426676
2,resort,resortent,0.181062117815708
2,resort,resortely,0.181062117815708
2,resort,resortful,0.141971771141685
2,resort,resorte's,0.181062117815708
2,resort,resorteer,0.181062117815708
2,resort,resorteal,0.234693294413777
2,resort,resortism,0.217397759856918
2,resort,resorting,0.166510789526773
2,resort,resortable,0.075500993061273
2,resort,resortalli,0.229108390916587
2,resort,resortal's,0.229108390916587
2,resort,resorter's,0.181062117815708
2,resort,resortized,0.181062117815708
2,resort,resortings,0.19302107301954
2,resort,resortlies,0.244898770184063
2,resort,resortment,0.181062117815708
2,resort,resorter,0.180156488307642
2,resort,resortes,0.104348586167235
2,resort,resorted,0.171742741236417
2,resort,resortal,0.305511210695522
2,resort,resort's,0.452547734521414
2,resort,resortative,0.181062117815708
2,resort,resortation,0.061126828769897
2,resort,resortlying,0.229108390916587
2,and,ande,-0.0051217873521299
2,and,ands,0.00951396672338127
2,and,and's,0.00918654534173483
2,and,andli,-0.00661742252138484
2,and,andly,0.0079592134719376
2,and,anded,0.00973701810451341
2,and,andeness,0.00691248818168224
2,and,andeli's,0.00674799443457034
2,and,andelied,0.00691248818168224
2,and,andfully,0.0074518791508814
2,and,anding's,0.00734564434470431
2,and,andingly,0.00734564434470431
2,and,andlying,0.00713150374616293
2,and,andeli,0.000493405021751795
2,and,andely,-0.000522369370824925
2,and,andeds,0.00703414752324862
2,and,ande's,0.000903593864183163
2,and,andded,0.00734564434470431
2,and,anding,0.00791951794593756
2,and,andful,0.00430663391571841
2,and,andding,0.0074518791508814
2,and,andfuls,0.00713150374616293
2,and,andelys,-0.00682966086190919
2,and,andelis,0.00728350871433493
2,and,andes's,0.00182380053559997
2,and,andeing,0.00691248818168224
2,and,andings,0.00838849884148954
2,and,andlies,0.00758078464646153
2,and,andness,0.00728350871433493
2,casino,casinoe,0.354177281462574
2,casino,casinos,0.610249243793704
2,casino,casino's,0.466514150160264
2,casino,casinoed,0.227967671885028
2,casino,casinoes,0.327840519312348
2,casino,casinoer,0.313083133192443
2,casino,casinoal,0.252522991404356
2,casino,casinoization,0.180695046508682
2,casino,casinoation,0.266874650928353
2,casino,casinoent,0.252522991404356
2,casino,casinos's,0.277887394274343
2,casino,casinoism,0.252522991404356
2,casino,casinoing,0.269927128337446
3,getting,get,0.311610206815593
3,getting,gets,0.351163705940499
3,getting,getful,0.128944779388288
3,getting,getted,0.121165287484869
3,getting,gets's,0.124982071411504
3,getting,get's,0.164441444006795
3,getting,getli,0.0560056960233881
3,getting,getly,0.116812831705337
3,getting,gettings,0.0690789435423167
3,getting,getting's,0.148141713594201
3,getting,gettingly,0.152741383850889
3,getting,getfulness,0.139169178175271
3,getting,gettings's,0.152741383850889
3,organized,organally,0.135902366500511
3,organized,organates,0.174992713174533
3,organized,organator,0.174992713174533
3,organized,organisms,0.1454052172139
3,organized,organitis,0.135902366500511
3,organized,organizes,0.283432784034047
3,organized,organizer,0.360263275251763
3,organized,organic's,0.0131764722855432
3,organized,organical,0.158887025230184
3,organized,organiced,0.159555552062726
3,organized,organicly,0.0683193536845007
3,organized,organisms's,0.0901695926115245
3,organized,organizeing,-0.00201806115806263
3,organized,organizered,0.228223012222437
3,organized,organizer's,0.479686581790174
3,organized,organized's,0.15212632623004
3,organized,organizedly,0.224145515680953
3,organized,organizings,0.113192012746264
3,organized,organications,0.150109720143975
3,organized,organizations,0.259791467608139
3,organized,organations,0.0968120198264883
3,organized,organicational,0.135902366500511
3,organized,organs,0.15592318990189
3,organized,organe,0.0854499194121796
3,organized,organational,0.123318085667256
3,organized,organation's,0.174992713174533
3,organized,organization,0.300553699436575
3,organized,organ,0.129857894081494
3,organized,organizeness,0.174992713174533
3,organized,organizering,0.135902366500511
3,organized,organizers's,0.192461473882361
3,organized,organizing's,0.240536026490297
3,organized,organal,0.173643037007166
3,organized,organed,0.0842277389932336
3,organized,organes,0.0216850898115327
3,organized,organer,0.0224206023422221
3,organized,organic,0.106377692569338
3,organized,organ's,0.0949737196846605
3,organized,organizationed,0.15212632623004
3,organized,organization's,0.208970317659816
3,organized,organality,0.174992713174533
3,organized,organation,0.0772360675381008
3,organized,organicals,0.174992713174533
3,organized,organicity,0.14238063661839
3,organized,organicing,0.15212632623004
3,organized,organics's,0.128334734946639
3,organized,organism's,0.17281401861765
3,organized,organities,0.174992713174533
3,organized,organize's,0.15212632623004
3,organized,organizely,0.197512018822407
3,organized,organizers,0.371064603031835
3,organized,organizeds,0.162174103990821
3,organized,organizing,0.357972794764966
3,organized,organeizations,0.174992713174533
3,organized,organate,0.158314910984075
3,organized,organics,0.0436927656539642
3,organized,organeer,0.174992713174533
3,organized,organeli,0.113035979556018
3,organized,organely,0.192461473882361
3,organized,organlis,0.222792079471316
3,organized,organing,0.111045181222159
3,organized,organity,0.21867056077249
3,organized,organism,0.169133207504072
3,organized,organize,0.349645360266837
3,organized,organs's,0.174992713174533
3,organized,organous,0.113035979556018
3,organized,organned,0.174992713174533
3,organized,organicality,0.174992713174533
3,organized,organication,0.0567219344751742
3,organized,organizations's,0.130063438357172
3,organized,organically,0.125622005940246
3,organized,organicities,0.135902366500511
3,organized,organicity's,0.174992713174533
3,organized,organicness,0.0613613520487405
4,toilet,toiletfully,0.254741078572656
4,toilet,toiletization,0.305784653353878
4,toilet,toileteer,0.281988048891277
4,toilet,toileters,0.305784653353878
4,toilet,toilets's,0.231874691628163
4,toilet,toiletted,0.313238670088361
4,toilet,toileting,0.348964928954115
4,toilet,toiletism,0.305784653353878
4,toilet,toileteers,0.281988048891277
4,toilet,toiletness,0.254741078572656
4,toilet,toiletting,0.203019156739653
4,toilet,toileted,0.295333057088974
4,toilet,toileter,0.313238670088361
4,toilet,toiletes,0.192654076525074
4,toilet,toilet's,0.420143173518169
4,toilet,toilete,0.307422450212514
4,toilet,toilets,0.4965061948411
5,mitchell,mitcheleness,0.233455316540132
5,mitchell,mitchellisms,0.283632974516176
5,mitchell,mitchellitis,0.283632974516176
5,mitchell,mitchellness,0.318636969738305
5,mitchell,mitchele's,0.210588929595638
5,mitchell,mitchelled,0.283632974516176
5,mitchell,mitchellal,0.233455316540132
5,mitchell,mitchell's,0.472923638743656
5,mitchell,mitchellent,0.283632974516176
5,mitchell,mitchells's,0.229856194016139
5,mitchell,mitchelling,0.259836370053575
5,mitchell,mitchelness,0.295660615098244
5,mitchell,mitchells,0.342739612187738
5,mitchell,mitcheler,0.233455316540132
5,mitchell,mitchel's,0.221261121905267
5,mitchell,mitchele,0.239764911478565
5,mitchell,mitchels,0.175837792739433
5,mitchell,mitchel,0.316693119554725
5,college,colleging,0.132880203602998
5,college,collegeds,0.148109068789269
5,college,collegeal,0.134423942620063
5,college,collegeer,0.103229087270708
5,college,collegent,0.129584015151614
5,college,collegers,0.148759531859075
5,college,collegant,0.169383603636378
5,college,collegate,-0.0266605682717817
5,college,college's,0.349308941041347
5,college,collegality,0.103229087270708
5,college,collegateli,0.0803627003262144
5,college,collegations,0.103229087270708
5,college,collegated,0.064138740596685
5,college,collegalli,0.0250483939226625
5,college,collegeals,0.148109068789269
5,college,collegeate,0.140269274898439
5,college,collegeity,0.148109068789269
5,college,collegered,0.159862860537075
5,college,collegeous,0.0803627003262144
5,college,colleger's,0.154389730088898
5,college,colleges's,0.1488477261571
5,college,collegical,0.103229087270708
5,college,collegisms,0.148109068789269
5,college,collegitis,0.0667479407399883
5,college,collegs,0.159712259522712
5,college,collegic,0.108415076796894
5,college,collegal,0.148109068789269
5,college,colleges,0.407084316812531
5,college,colleger,0.167028003576026
5,college,colleged,0.155692130630441
5,college,colleg's,0.148109068789269
5,college,collegeality,0.124312464326669
5,college,colleg,0.187652657327444
6,kcs,kcs's,0.596574529267819
7,air,airs,0.226015979851609
7,air,aire,0.155468657503824
7,air,aireing,0.131708516771206
7,air,aires's,0.0819311905034012
7,air,aired's,0.100681900337829
7,air,airings,0.185477921092134
7,air,airlied,-0.0687975862175687
7,air,airlies,0.146179645801779
7,air,airness,-0.0056862411193062
7,air,airring,0.084460760351028
7,air,air's,0.247363861559164
7,air,airli,0.162270772833638
7,air,airly,0.0889353624608876
7,air,aired,0.233561661631494
7,air,aires,0.100973565547109
7,air,airlied's,0.0719340432332716
7,air,aireings,0.0656596085395899
