QID,Term,Morph,npmi
1,ascii,asciis,0.4638503093957961
1,ascii,asciily,0.3868813222269951
1,code,coditions,0.0465003834216604
1,code,codic,0.079791932990341
1,code,codes,0.3122366346525521
1,code,coder,0.15138325448702
1,code,coded,0.1946378196714872
1,code,codeable,0.1542156735874068
1,code,codeness,0.0932710811236317
1,code,codement,0.1237360443585481
1,code,codicism,0.0932710811236317
1,code,codicity,0.0932710811236317
1,code,codition,0.0439722145618045
1,code,coders,0.2341972970566986
1,code,codeds,0.1681909671174548
1,code,codees,0.1781066269339285
1,code,codeed,0.1537768532791877
1,code,codeic,0.0932710811236317
1,code,codeal,0.0781834476291866
1,code,coding,0.2443397652555624
1,code,codion,0.0152637500253625
1,code,codics,0.0970566460869269
1,code,codicities,0.0932710811236317
1,code,codeeds,0.1409906997017305
1,code,codeals,0.0630156940089993
1,code,codence,0.0227776142151147
1,code,codency,0.0704553993867183
1,code,codeion,0.1139016466679868
1,code,codeing,0.1119557431083131
1,code,codeity,0.0932710811236317
1,code,codeive,0.0932710811236317
1,code,codings,0.1384453319024856
1,code,codeables,0.0932710811236317
1,code,codeality,0.1010284703599413
1,code,codements,0.0932710811236317
2,cad,cads,0.2650269445482565
2,cad,cadance,0.0594973487377274
2,cad,cadable,0.2258476398042617
2,cad,cadders,0.1991556463188921
2,cad,cadding,0.38083094502575
2,cad,cadeers,0.2350140491777382
2,cad,cadness,0.1042277893719792
2,cad,cador,0.0168834732540422
2,cad,cadly,0.2486633215411751
2,cad,cadic,0.153160231685477
2,cad,caded,0.1854011802599313
2,cad,cader,0.0768084088606215
2,cad,cades,0.1171819242886845
2,cad,cadal,0.0529329671563779
2,cad,cadables,0.2258476398042617
2,cad,cadances,0.1706559904429059
2,cad,cadanced,0.2096596559920405
2,cad,cadeer,0.3313159728785469
2,cad,caders,0.1642875500895131
2,cad,cadded,0.2096596559920405
2,cad,cadder,0.3312256022300031
2,cad,cading,0.2401224618600669
2,cad,cadism,0.2096596559920405
2,cad,cadion,0.0815169266531526
2,cad,cadive,0.2486633215411751
2,cad,cadize,0.2993424394846304
2,cad,cadics,0.2258476398042617
2,cad,cadlys,0.2486633215411751
