QID,Term,Morph,npmi
1,ascii,asciiness,0.2948823955422496
1,ascii,asciie,0.3922229028156632
1,ascii,asciis,0.4638503093957961
1,ascii,ascii's,0.4404116086735556
1,ascii,asciied,0.317698077279163
1,code,codes,0.3122366346525521
1,code,coded,0.1946378196714872
1,code,codee,0.1500110862980856
1,code,codeness,0.0932710811236317
1,code,codingly,0.1273250283902829
1,code,coding's,0.0609391422808019
1,code,code's,0.2089817456849496
1,code,codeli,0.137643341530903
1,code,codeds,0.1681909671174548
1,code,codees,0.1781066269339285
1,code,codeed,0.1537768532791877
1,code,coding,0.2443397652555624
1,code,codeful,0.1409906997017305
1,code,codedly,0.0733149512240108
1,code,codeeds,0.1409906997017305
1,code,coded's,0.0417110398306403
1,code,codee's,0.0227776142151147
1,code,codes's,0.0901712919110431
1,code,codelis,0.0932710811236317
1,code,codeing,0.1119557431083131
1,code,codings,0.1384453319024856
2,cad,cads,0.2650269445482565
2,cad,cadding,0.38083094502575
2,cad,cadness,0.1042277893719792
2,cad,cad's,0.3671898192537728
2,cad,cadli,0.2258476398042617
2,cad,cadly,0.2486633215411751
2,cad,cadded,0.2096596559920405
2,cad,cadlys,0.2486633215411751
2,cad,cadlis,0.2486633215411751
3,fifa,fifas,0.4017452482042102
3,fifa,fifaing,0.3952373921988471
3,fifa,fifa's,0.5672484975868481
4,nike,nike's,0.5011232885094042
4,nike,nikees,0.1659640509130081
4,nike,nikely,0.2583709135062932
4,nike,nikeli,0.2119506916000004
4,nike,niking,0.0576909008002392
4,nike,nikes,0.4478905897599765
4,nike,nikee,0.2049302406602578
4,nike,niked,0.2411684385230141
4,nike,nikeness,0.2635107328929919
4,nike,niking's,0.1675838845986959
4,nike,nikes's,0.2635107328929919
4,nike,nikeing,0.1930172659844747
4,nike,nikelis,0.1501313443139524
5,vmware,vmwares,0.4260119333752542
5,vmware,vmwared,0.3092340922659081
5,vmware,vmwareed,0.362371577633575
5,vmware,vmware's,0.6202255611457848
5,virtual,virtualization's,0.294105936080324
5,virtual,virtualalization,0.2062988215423725
5,virtual,virtualization,0.4063819719010362
5,virtual,virtualants,0.227763074378765
5,virtual,virtualiced,0.1202450802054839
5,virtual,virtualitys,0.1825571266794563
5,virtual,virtualizes,0.250247155291958
5,virtual,virtualizer,0.2193202827864245
5,virtual,virtualized,0.3930382016979181
5,virtual,virtuallies,0.1202450802054839
5,virtual,virtuallize,0.2113158171938978
